site,lat,long,transect,distance_along_tape,point,quarter,species,distance_from_point,height,dbh,ba,cover,salinity,soil_water_content,soil_carbon_content,soil_bulk_density
SouthStradbroke,-27.8303,153.40944,1,20,P1,1,AC,3.49,0.86,2.71,5.75,0.16,40,0.1999,0.02718,1.2786
SouthStradbroke,-27.8303,153.40944,1,20,P1,2,AC,2.48,0.75,3.28,8.44,,,,,
SouthStradbroke,-27.8303,153.40944,1,20,P1,3,AM,9,2.92,3.04,7.26,,,,,
SouthStradbroke,-27.8303,153.40944,1,20,P1,4,AC,6.92,0.83,2.82,6.25,,,,,
SouthStradbroke,-27.8303,153.40944,1,40,P2,1,AM,4.66,5.36,5.57,24.37,94.8,50,0.14423,0.0169,1.21313
SouthStradbroke,-27.8303,153.40944,1,40,P2,2,AM,2.94,6.87,18.41,266.32,,,,,
SouthStradbroke,-27.8303,153.40944,1,40,P2,3,AC,6.42,1.03,2.79,6.09,,,,,
SouthStradbroke,-27.8303,153.40944,1,40,P2,4,AM,4.64,6.08,10.98,94.72,,,,,
SouthStradbroke,-27.8303,153.40944,1,75,P3,1,AC,1.78,0.89,2.47,4.81,2.24,40,0.35201,0.08324,0.70453
SouthStradbroke,-27.8303,153.40944,1,75,P3,2,AM,1.17,4.39,7.42,43.2,,,,,
SouthStradbroke,-27.8303,153.40944,1,75,P3,3,AC,1.93,0.62,2.5,4.9,,,,,
SouthStradbroke,-27.8303,153.40944,1,75,P3,4,AM,1.17,2.58,2.9,6.59,,,,,
SouthStradbroke,-27.8303,153.40944,1,100,P4,1,AM,0.74,2.07,4.58,16.5,97.92,42,0.36291,0.08829,0.86678
SouthStradbroke,-27.8303,153.40944,1,100,P4,2,AC,1.01,1.53,2.32,4.24,,,,,
SouthStradbroke,-27.8303,153.40944,1,100,P4,3,AC,1.06,1.63,1.97,3.06,,,,,
SouthStradbroke,-27.8303,153.40944,1,100,P4,4,AC,1.18,1.61,2.5,4.9,,,,,
SouthStradbroke,-27.8303,153.40944,1,200,P5,1,RS,0.53,3.22,4.23,14.08,80.24,37,0.32366,0.04375,0.97349
SouthStradbroke,-27.8303,153.40944,1,200,P5,2,RS,1.85,2.5,4.46,15.6,,,,,
SouthStradbroke,-27.8303,153.40944,1,200,P5,3,RS,2.52,2.8,3.84,11.55,,,,,
SouthStradbroke,-27.8303,153.40944,1,200,P5,4,RS,0.83,3.57,4.45,15.52,,,,,
SouthStradbroke,-27.8303,153.40944,1,220,P6,1,AC,3.89,1.44,3.29,8.52,10.56,38,0.25511,0.02268,1.25222
SouthStradbroke,-27.8303,153.40944,1,220,P6,2,RS,4.1,3.36,3.75,11.03,,,,,
SouthStradbroke,-27.8303,153.40944,1,220,P6,3,AC,1.46,1.38,3.92,12.04,,,,,
SouthStradbroke,-27.8303,153.40944,1,220,P6,4,AC,2.14,0.87,3.31,8.61,,,,,
SouthStradbroke,-27.8303,153.40944,2,21,P1,1,AC,6.2,0.94,5.95,27.83,0.16,39,0.2986,0.05668,1.07565
SouthStradbroke,-27.8303,153.40944,2,21,P1,2,AC,6.36,1.01,2.71,5.75,,,,,
